p1_id,p2_id,p1_wins,elo_diff,surface_elo_diff,age_diff,height_diff,recent_win_rate_diff,h2h_winrate_diff,is_clay,is_grass,is_hard,is_indoor,best_of_5,round_code,tourney_level_code,tourney_id,tourney_name,tourney_date,surface,round
KC33,PM13,1,12.0,12.0,2.857999999999997,-10.0,0.375,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
TE51,D875,1,-12.0,-12.0,-7.241,2.0,-0.05999999999999994,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
S0KT,BU13,1,12.0,12.0,-5.280999999999999,13.0,-0.14500000000000002,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
TE51,GB88,1,24.414300586377067,24.414300586377067,-7.6789999999999985,13.0,0.10000000000000003,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
TD51,E687,1,23.585699413622933,23.585699413622933,-7.663,13.0,0.18,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
N771,FB98,1,0.013253694298555274,0.013253694298555274,2.1819999999999986,-8.0,-0.14,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
M0EJ,M0E1,1,47.17245456147816,47.17245456147816,-2.1409999999999982,5.0,0.66,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
BK40,HB71,1,-0.027563122829405984,-0.027563122829405984,0.8350000000000009,0.0,-0.019999999999999907,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
GH92,S0KT,1,12.399991157846216,12.399991157846216,6.542999999999999,-2.0,0.07327586206896552,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
TE51,CG80,1,-0.41324485214477136,-0.41324485214477136,-1.7409999999999997,5.0,0.20000000000000007,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
M0EJ,S0KT,1,33.966870100425695,33.966870100425695,2.532,-13.0,0.28500000000000003,0.0,0,0,1,0,0,6,2,2023-9900,United Cup,20230102,Hard,SF
TE51,BK40,1,0.013320968279685985,0.013320968279685985,-2.3320000000000007,-3.0,0.0,0.0,0,0,1,0,0,6,2,2023-9900,United Cup,20230102,Hard,SF
TD51,Z09D,1,35.186627862610976,35.186627862610976,1.001999999999999,5.0,0.52,0.0,0,0,1,0,0,6,2,2023-9900,United Cup,20230102,Hard,SF
FB98,HB71,1,-0.026153359911631924,-0.026153359911631924,-0.7089999999999996,0.0,0.14,0.0,0,0,1,0,0,6,2,2023-9900,United Cup,20230102,Hard,SF
TD51,M0EJ,1,1.1642451940704177,1.1642451940704177,4.114999999999998,3.0,-0.14,0.0,0,0,1,0,0,7,2,2023-9900,United Cup,20230102,Hard,F
FB98,BK40,1,-5.101504689264402e-05,-5.101504689264402e-05,-1.5440000000000005,0.0,0.15999999999999992,0.0,0,0,1,0,0,7,2,2023-9900,United Cup,20230102,Hard,F
P09Z,AG37,1,0.0,0.0,1.0100000000000016,3.0,-0.22000000000000003,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
GC88,G628,1,0.0,0.0,-7.099,-3.0,0.18,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
MK66,GE33,1,0.0,0.0,1.1739999999999995,-13.0,0.020000000000000018,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
N732,R0DG,1,0.0,0.0,7.5859999999999985,-18.0,-0.15999999999999998,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
BD06,RE44,1,0.0,0.0,9.517,-5.0,-0.09999999999999998,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
K0AH,MC10,1,0.0,0.0,-13.142000000000003,5.0,0.14000000000000007,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
KD46,C0BC,1,0.0,0.0,1.0760000000000005,-8.0,0.18588235294117644,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
S0AG,E831,1,0.0,0.0,-6.604000000000003,3.0,0.9,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
KE29,CG04,1,0.0,0.0,-1.1089999999999982,13.0,0.25999999999999995,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
D0CO,KF17,1,0.0,0.0,-4.055,13.0,0.36714285714285716,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
KI95,O483,1,0.0,0.0,-5.2429999999999986,0.0,0.06,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
MM58,SU87,1,0.0,0.0,-0.7560000000000002,7.0,0.18,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
SU55,H0BH,1,0.0,0.0,1.8619999999999983,7.0,0.2,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
SX50,Y268,1,0.0,0.0,1.0899999999999999,0.0,-0.020000000000000018,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
HB64,TC61,1,0.0,0.0,-2.519000000000002,8.0,-0.12,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
D643,LB66,1,0.0,0.0,5.004999999999999,8.0,0.5527272727272727,0.0,0,0,1,0,0,3,2,2023-2843,Adelaide-1,20230102,Hard,R32
P09Z,GC88,1,0.0,0.0,-6.032,16.0,-0.020000000000000018,0.0,0,0,1,0,0,4,2,2023-2843,Adelaide-1,20230102,Hard,R16
N732,MK66,1,0.0,0.0,-0.4490000000000016,-8.0,0.12,0.0,0,0,1,0,0,4,2,2023-2843,Adelaide-1,20230102,Hard,R16
K0AH,BD06,1,0.0,0.0,-12.225000000000001,13.0,0.08000000000000007,0.0,0,0,1,0,0,4,2,2023-2843,Adelaide-1,20230102,Hard,R16
S0AG,KD46,1,0.0,0.0,-5.350000000000001,-2.0,0.42000000000000004,0.0,0,0,1,0,0,4,2,2023-2843,Adelaide-1,20230102,Hard,R16
KE29,D0CO,1,0.0,0.0,5.588000000000001,5.0,-0.16000000000000003,0.0,0,0,1,0,0,4,2,2023-2843,Adelaide-1,20230102,Hard,R16
MM58,KI95,1,0.0,0.0,3.5509999999999984,15.0,0.18,0.0,0,0,1,0,0,4,2,2023-2843,Adelaide-1,20230102,Hard,R16
SU55,SX50,1,0.0,0.0,-1.6870000000000012,0.0,0.16000000000000003,0.0,0,0,1,0,0,4,2,2023-2843,Adelaide-1,20230102,Hard,R16
D643,HB64,1,0.0,0.0,9.431999999999999,-3.0,0.4,0.0,0,0,1,0,0,4,2,2023-2843,Adelaide-1,20230102,Hard,R16
N732,P09Z,1,0.0,0.0,3.854999999999997,-26.0,0.020000000000000018,0.0,0,0,1,0,0,5,2,2023-2843,Adelaide-1,20230102,Hard,QF
K0AH,S0AG,1,0.0,0.0,1.1140000000000008,5.0,-0.33999999999999997,0.0,0,0,1,0,0,5,2,2023-2843,Adelaide-1,20230102,Hard,QF
MM58,KE29,1,0.0,0.0,0.27399999999999736,0.0,0.040000000000000036,0.0,0,0,1,0,0,5,2,2023-2843,Adelaide-1,20230102,Hard,QF
D643,SU55,1,0.0,0.0,11.898999999999997,3.0,0.24,0.0,0,0,1,0,0,5,2,2023-2843,Adelaide-1,20230102,Hard,QF
K0AH,N732,1,0.0,0.0,-4.7719999999999985,26.0,0.10000000000000003,0.0,0,0,1,0,0,6,2,2023-2843,Adelaide-1,20230102,Hard,SF
D643,MM58,1,0.0,0.0,8.725999999999999,-10.0,0.14,0.0,0,0,1,0,0,6,2,2023-2843,Adelaide-1,20230102,Hard,SF
D643,K0AH,1,0.0,0.0,13.122999999999998,-8.0,0.21999999999999997,0.0,0,0,1,0,0,7,2,2023-2843,Adelaide-1,20230102,Hard,F
C0E9,MP13,1,0.0,0.0,-5.306000000000001,-2.0,0.37,0.0,0,0,1,0,0,3,2,2023-891,Pune,20230102,Hard,R32
MN13,Y218,1,0.0,0.0,0.820999999999998,3.0,0.04516129032258065,0.0,0,0,1,0,0,3,2,2023-891,Pune,20230102,Hard,R32
DB63,MV14,1,0.0,0.0,2.5,10.0,-0.04648648648648651,0.0,0,0,1,0,0,3,2,2023-891,Pune,20230102,Hard,R32
BM95,T0AP,1,0.0,0.0,5.163,8.0,0.19419354838709676,0.0,0,0,1,0,0,3,2,2023-891,Pune,20230102,Hard,R32
MP01,D0JI,1,0.0,0.0,9.965,5.0,0.5405405405405406,0.0,0,0,1,0,0,3,2,2023-891,Pune,20230102,Hard,R32
KB05,N897,1,0.0,0.0,5.467000000000002,7.0,-0.1225806451612903,0.0,0,0,1,0,0,3,2,2023-891,Pune,20230102,Hard,R32
KC56,A596,1,0.0,0.0,-7.614000000000001,5.0,0.44,0.0,0,0,1,0,0,3,2,2023-891,Pune,20230102,Hard,R32
V942,A829,1,0.0,0.0,-7.450000000000003,13.0,0.025000000000000022,0.0,0,0,1,0,0,3,2,2023-891,Pune,20230102,Hard,R32
MO44,RB56,1,0.0,0.0,-2.4639999999999986,-3.0,-0.040000000000000036,0.0,0,0,1,0,0,3,2,2023-891,Pune,20230102,Hard,R32
GJ37,MU94,1,0.0,0.0,0.8399999999999999,5.0,0.06000000000000005,0.0,0,0,1,0,0,3,2,2023-891,Pune,20230102,Hard,R32
CF01,BG23,1,0.0,0.0,-0.6020000000000003,0.0,0.07525083612040134,0.0,0,0,1,0,0,3,2,2023-891,Pune,20230102,Hard,R32
CF59,Z419,1,0.0,0.0,3.809000000000001,0.0,0.03999999999999998,0.0,0,0,1,0,0,3,2,2023-891,Pune,20230102,Hard,R32
V812,C0E9,1,-12.0,-12.0,6.587,8.0,-0.2,0.0,0,0,1,0,0,4,2,2023-891,Pune,20230102,Hard,R16
MN13,DB63,1,0.0,0.0,-0.036000000000001364,0.0,-0.03999999999999998,0.0,0,0,1,0,0,4,2,2023-891,Pune,20230102,Hard,R16
BM95,RH24,1,12.0,12.0,2.811,-5.0,-0.06,0.0,0,0,1,0,0,4,2,2023-891,Pune,20230102,Hard,R16
KB05,MP01,1,0.0,0.0,5.870000000000001,-3.0,-0.34054054054054056,0.0,0,0,1,0,0,4,2,2023-891,Pune,20230102,Hard,R16
KC56,V942,1,0.0,0.0,3.6359999999999992,-3.0,0.03999999999999998,0.0,0,0,1,0,0,4,2,2023-891,Pune,20230102,Hard,R16
MO44,B0BI,1,12.0,12.0,3.6750000000000007,15.0,0.0,0.0,0,0,1,0,0,4,2,2023-891,Pune,20230102,Hard,R16
GJ37,CF01,1,0.0,0.0,-3.7540000000000013,3.0,0.13692307692307698,0.0,0,0,1,0,0,4,2,2023-891,Pune,20230102,Hard,R16
C977,CF59,1,-12.0,-12.0,4.481000000000002,15.0,-0.03538461538461535,0.0,0,0,1,0,0,4,2,2023-891,Pune,20230102,Hard,R16
V812,MN13,1,-11.585699413622933,-11.585699413622933,-0.3039999999999985,3.0,0.019999999999999962,0.0,0,0,1,0,0,5,2,2023-891,Pune,20230102,Hard,QF
BM95,KB05,1,-0.4143005863770668,-0.4143005863770668,-4.282,-2.0,0.21999999999999997,0.0,0,0,1,0,0,5,2,2023-891,Pune,20230102,Hard,QF
KC56,MO44,1,0.4143005863770668,0.4143005863770668,3.6409999999999982,0.0,0.08000000000000002,0.0,0,0,1,0,0,5,2,2023-891,Pune,20230102,Hard,QF
GJ37,C977,1,11.585699413622933,11.585699413622933,-7.759000000000004,-10.0,0.17538461538461542,0.0,0,0,1,0,0,5,2,2023-891,Pune,20230102,Hard,QF
BM95,V812,1,10.785700629825897,10.785700629825897,-0.6819999999999986,-8.0,0.0,0.0,0,0,1,0,0,6,2,2023-891,Pune,20230102,Hard,SF
GJ37,KC56,1,-0.3856981974199698,-0.3856981974199698,-2.8260000000000005,3.0,0.12000000000000005,0.0,0,0,1,0,0,6,2,2023-891,Pune,20230102,Hard,SF
GJ37,BM95,1,0.3857103495049614,0.3857103495049614,-0.06300000000000239,5.0,0.14000000000000007,0.0,0,0,1,0,0,7,2,2023-891,Pune,20230102,Hard,F
L0BV,MJ08,1,22.743844546570244,22.743844546570244,-7.442,2.0,0.15999999999999998,0.0,0,0,1,0,0,3,2,2023-301,Auckland,20230109,Hard,R32
GC88,CE77,1,23.585699413622933,23.585699413622933,-1.3739999999999988,0.0,0.10000000000000003,0.0,0,0,1,0,0,3,2,2023-301,Auckland,20230109,Hard,R32
W09G,ME82,1,0.3999911578462161,0.3999911578462161,-10.478000000000002,3.0,0.0,0.0,0,0,1,0,0,3,2,2023-301,Auckland,20230109,Hard,R32
B0CD,F510,1,0.0,0.0,-13.426000000000002,15.0,0.20465116279069762,0.0,0,0,1,0,0,3,2,2023-301,Auckland,20230109,Hard,R32
HB64,MV14,1,12.0,12.0,1.097999999999999,13.0,-0.10648648648648651,0.0,0,0,1,0,0,3,2,2023-301,Auckland,20230109,Hard,R32
S0S1,B0BI,1,11.585699413622933,11.585699413622933,-1.779,23.0,0.26,0.0,0,0,1,0,0,3,2,2023-301,Auckland,20230109,Hard,R32
GB88,BK92,1,0.42755428067562207,0.42755428067562207,6.527000000000005,-16.0,-0.23999999999999994,0.0,0,0,1,0,0,3,2,2023-301,Auckland,20230109,Hard,R32
E865,HH26,1,0.0,0.0,2.1409999999999982,13.0,-0.23999999999999994,0.0,0,0,1,0,0,3,2,2023-301,Auckland,20230109,Hard,R32
G628,P0ED,1,-12.0,-12.0,10.556999999999999,-2.0,0.11333333333333337,0.0,0,0,1,0,0,3,2,2023-301,Auckland,20230109,Hard,R32
BK24,I186,1,0.0,0.0,-8.811000000000003,-25.0,0.02869565217391301,0.0,0,0,1,0,0,3,2,2023-301,Auckland,20230109,Hard,R32
LB66,CG04,1,0.0,0.0,2.8859999999999992,-5.0,-0.11272727272727276,0.0,0,0,1,0,0,3,2,2023-301,Auckland,20230109,Hard,R32
DB63,MU94,1,12.0,12.0,1.9250000000000007,5.0,-0.06,0.0,0,0,1,0,0,3,2,2023-301,Auckland,20230109,Hard,R32
N771,L0BV,1,24.783966622147545,24.783966622147545,6.212,3.0,0.0,0.0,0,0,1,0,0,4,2,2023-301,Auckland,20230109,Hard,R16
GC88,W09G,1,-0.7995569383317616,-0.7995569383317616,5.41,-3.0,0.06,0.0,0,0,1,0,0,4,2,2023-301,Auckland,20230109,Hard,R16
B0CD,SM37,1,12.0,12.0,-8.193999999999999,23.0,0.31298449612403095,0.0,0,0,1,0,0,4,2,2023-301,Auckland,20230109,Hard,R16
HB64,S0S1,1,-0.014292960426246282,-0.014292960426246282,5.952000000000002,-2.0,-0.24,0.0,0,0,1,0,0,4,2,2023-301,Auckland,20230109,Hard,R16
GB88,E865,1,-23.172912327189806,-23.172912327189806,5.410000000000004,-21.0,0.12,0.0,0,0,1,0,0,4,2,2023-301,Auckland,20230109,Hard,R16
G628,SH90,1,0.4143005863770668,0.4143005863770668,2.780999999999999,-2.0,0.013333333333333364,0.0,0,0,1,0,0,4,2,2023-301,Auckland,20230109,Hard,R16
LB66,BK24,1,-12.0,-12.0,1.7360000000000007,-3.0,-0.19272727272727272,0.0,0,0,1,0,0,4,2,2023-301,Auckland,20230109,Hard,R16
DB63,RH16,1,12.0,12.0,3.557000000000002,5.0,-0.24000000000000005,0.0,0,0,1,0,0,4,2,2023-301,Auckland,20230109,Hard,R16
